geoName,geoCode
Indonesia,ID
Aceh,ID-AC
Bali,ID-BA
Banten,ID-BT
Bengkulu,ID-BE
Daerah Istimewa Yogyakarta,ID-YO
Daerah Khusus Ibukota Jakarta,ID-JK
Gorontalo,ID-GO
Jambi,ID-JA
Jawa Barat,ID-JB
Jawa Tengah,ID-JT
Jawa Timur,ID-JI
Kalimantan Barat,ID-KB
Kalimantan Selatan,ID-KS
Kalimantan Tengah,ID-KT
Kalimantan Timur,ID-KI
Kalimantan Utara,ID-KU
Kepulauan Bangka Belitung,ID-BB
Kepulauan Riau,ID-KR
Lampung,ID-LA
Maluku,ID-MA
Maluku Utara,ID-MU
Nusa Tenggara Barat,ID-NB
Nusa Tenggara Timur,ID-NT
Papua,ID-PA
Papua Barat,ID-PB
Riau,ID-RI
Sulawesi Barat,ID-SR
Sulawesi Selatan,ID-SN
Sulawesi Tengah,ID-ST
Sulawesi Tenggara,ID-SG
Sulawesi Utara,ID-SA
Sumatera Barat,ID-SB
Sumatera Selatan,ID-SS
Sumatera Utara,ID-SU
